"STAND_ID","PLOT_ID","STANDPLOT_ID","TREE_ID","TAG_ID","TREE_COUNT","HISTORY","SPECIES","DIAMETER","DIAMETER_HT","DG","HT","HTG","HTTOPK","HT_TO_LIVE_CROWN","CRRATIO","DAMAGE1","SEVERITY1","DAMAGE2","SEVERITY2","DAMAGE3","SEVERITY3","DEFECT_CUBIC","DEFECT_BOARD","TREEVALUE","PRESCRIPTION","AGE","SLOPE","ASPECT","PV_CODE","PV_REF_CODE","TOPOCODE","SITEPREP","CULL","DECAYCD","WDLND_STEMS","Year","orig_PlotID","unique_tree"
"CARB_2",1,,1,1,1,1,202,20.7,,20.1,86,86,,,,,,,,,,,,,,,,,,,,,,,,2023,2,1
"CARB_2",1,,2,2,1,1,202,15.5,,15,80,78,,,,,,,,,,,,,,,,,,,,,,,,2023,2,2
"CARB_2",1,,3,3,1,1,122,16,,15.8,74,77,,,,,,,,,,,,,,,,,,,,,,,,2023,2,3
"CARB_2",1,,4,4,1,1,202,13.6,,12.9,70,68,,,,,,,,,,,,,,,,,,,,,,,,2023,2,4
"CARB_3",1,,5,1,1,1,122,21.1,,20.5,88,88,,,,,,,,,,,,,,,,,,,,,,,,2023,3,5
"CARB_3",1,,6,2,1,1,122,17.2,,16.6,80,79,,,,,,,,,,,,,,,,,,,,,,,,2023,3,6
"CARB_3",1,,7,3,1,1,122,21.5,,21.1,94,94,,,,,,,,,,,,,,,,,,,,,,,,2023,3,7
"CARB_3",1,,8,4,1,1,122,19.3,,18.7,94,94,,,,,,,,,,,,,,,,,,,,,,,,2023,3,8
"CARB_3",1,,9,5,1,1,122,20.8,,20.1,89,89,,,,,,,,,,,,,,,,,,,,,,,,2023,3,9
"CARB_3",1,,10,6,1,1,202,7.1,,6.2,36,31,,,,,,,,,,,,,,,,,,,,,,,,2023,3,10
"CARB_3",1,,11,7,1,1,122,3.2,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,2023,3,11
"CARB_4",1,,12,1,1,1,122,7.1,,6.9,34,34,,,,,,,,,,,,,,,,,,,,,,,,2023,4,12
"CARB_4",1,,13,2,1,1,122,14.8,,14.4,76,75,,,,,,,,,,,,,,,,,,,,,,,,2023,4,13
"CARB_4",1,,14,3,1,1,122,8.4,,8.1,40,35,,,,,,,,,,,,,,,,,,,,,,,,2023,4,14
"CARB_4",1,,15,4,1,1,122,15.6,,15.1,87,85,,,,,,,,,,,,,,,,,,,,,,,,2023,4,15
"CARB_4",1,,16,5,1,1,122,14.6,,14,87,80,,,,,,,,,,,,,,,,,,,,,,,,2023,4,16
"CARB_4",1,,17,6,1,1,122,17.7,,17.2,82,82,,,,,,,,,,,,,,,,,,,,,,,,2023,4,17
"CARB_4",1,,18,7,1,1,122,8.2,,8.2,44,42,,,,,,,,,,,,,,,,,,,,,,,,2023,4,18
"CARB_4",1,,19,8,1,1,122,14.9,,14.7,65,65,,,,,,,,,,,,,,,,,,,,,,,,2023,4,19
"CARB_4",1,,20,9,1,1,122,14.6,,14.4,55,53,,,,,,,,,,,,,,,,,,,,,,,,2023,4,20
"CARB_4",1,,21,10,1,1,122,5.2,,5.2,26,26,,,,,,,,,,,,,,,,,,,,,,,,2023,4,21
"CARB_4",1,,22,11,1,1,122,19.1,,18.6,85,83,,,,,,,,,,,,,,,,,,,,,,,,2023,4,22
"CARB_4",1,,23,12,1,1,122,15.1,,14.7,83,73,,,,,,,,,,,,,,,,,,,,,,,,2023,4,23
"CARB_4",1,,24,13,1,1,122,18.3,,17.7,99,84,,,,,,,,,,,,,,,,,,,,,,,,2023,4,24
"CARB_4",1,,25,14,1,1,122,11.6,,11.2,68,63,,,,,,,,,,,,,,,,,,,,,,,,2023,4,25
"CARB_4",1,,26,15,1,1,122,6.8,,6.8,33,33,,,,,,,,,,,,,,,,,,,,,,,,2023,4,26
"CARB_4",1,,27,16,1,1,202,3,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,2023,4,27
"CARB_4",1,,28,17,1,1,202,2.5,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,2023,4,28
"CARB_4",1,,4517,18,1,1,122,5,,,27,,,,,,,,,,,,,,,,,,,,,,,,,2023,4,4517
"CARB_4",1,,4518,19,1,1,202,5.1,,,27,,,,,,,,,,,,,,,,,,,,,,,,,2023,4,4518
"CARB_4",1,,4519,20,1,1,202,5.6,,,26,,,,,,,,,,,,,,,,,,,,,,,,,2023,4,4519
"CARB_4",1,,4520,21,1,1,122,5.2,,,25,,,,,,,,,,,,,,,,,,,,,,,,,2023,4,4520
